Major Heading,Major_Heading_MS,Major_Heading_CN,Major_Heading_VN,Activity Code,MET Value,Activity Description,Activity_Description_MS,Activity_Description_CN,Activity_Description_VN
Sports,Sukan,体育运动,Thể thao,15537,5.8,"Rock climbing, ascending or traversing rock, low-to-moderate difficulty","Mendaki batu, mendaki atau merentas batu, tahap kesukaran rendah hingga sederhana",攀岩，攀登或横渡岩石，低至中等难度,"Leo núi, trèo hoặc băng ngang đá, độ khó thấp đến trung bình"
Sports,Sukan,体育运动,Thể thao,15538,10.5,"Rock climbing, treadwall, 4-6 m/min","Mendaki batu, treadwall, 4-6 m/min",攀岩，踏墙机，4-6 米/分钟,"Leo núi, tường leo treadwall, 4-6 m/phút"
Sports,Sukan,体育运动,Thể thao,15539,10.5,"Rock climbing, treadwall, 7-10 m/min","Mendaki batu, treadwall, 7-10 m/min",攀岩，踏墙机，7-10 米/分钟,"Leo núi, tường leo treadwall, 7-10 m/phút"
Sports,Sukan,体育运动,Thể thao,15540,5,"Rock climbing, rappelling,","Mendaki batu, turun tali (rappelling)",攀岩，绳降,"Leo núi, trượt dây rappel"
Sports,Sukan,体育运动,Thể thao,15542,4,"Rodeo sports, general, light effort","Sukan rodeo, umum, usaha ringan",牛仔竞技运动，一般，轻度强度,"Thể thao rodeo, tổng quát, nhẹ"
Sports,Sukan,体育运动,Thể thao,15544,5.5,"Rodeo sports, general, moderate effort","Sukan rodeo, umum, usaha sederhana",牛仔竞技运动，一般，中等强度,"Thể thao rodeo, tổng quát, vừa"
Sports,Sukan,体育运动,Thể thao,15546,7,"Rodeo sports, general, vigorous effort","Sukan rodeo, umum, usaha kuat",牛仔竞技运动，一般，剧烈强度,"Thể thao rodeo, tổng quát, nặng"
Sports,Sukan,体育运动,Thể thao,15550,12.3,"Rope jumping, fast pace, 120-160 skips/min","Lompat tali, laju, 120-160 lompatan/minit",跳绳，快速，120-160 下/分钟,"Nhảy dây, tốc độ nhanh, 120-160 lần/phút"
Sports,Sukan,体育运动,Thể thao,15551,11.8,"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce","Lompat tali, kadar sederhana, umum, 100 hingga 120 lompatan/minit, lompatan dua kaki, lantunan biasa",跳绳，中速，一般，100-120 下/分钟，双脚跳，普通弹跳,"Nhảy dây, tốc độ vừa, tổng quát, 100-120 lần/phút, nhảy hai chân, nhún nhảy cơ bản"
Sports,Sukan,体育运动,Thể thao,15552,8.3,"Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce","Lompat tali, kadar perlahan, < 100 lompatan/minit, lompatan dua kaki, lantunan berirama",跳绳，慢速，少于 100 下/分钟，双脚跳，节奏弹跳,"Nhảy dây, tốc độ chậm, <100 lần/phút, nhảy hai chân, nhún nhảy nhịp nhàng"
Sports,Sukan,体育运动,Thể thao,15554,10,"Rope jumping, double under or more","Lompat tali, double under atau lebih",跳绳，双摇或更多,"Nhảy dây, nhảy đôi hoặc hơn"
Sports,Sukan,体育运动,Thể thao,15560,8.3,"Rugby, union, team, competitive","Ragbi, union, pasukan, pertandingan",橄榄球，联盟赛，团队，竞技,"Bóng bầu dục, liên hiệp, đội, cạnh tranh"
Sports,Sukan,体育运动,Thể thao,15562,6.3,"Rugby, touch, non-competitive","Ragbi, sentuh, bukan pertandingan",橄榄球，触式，非竞技,"Bóng bầu dục, chạm bóng, không cạnh tranh"
Sports,Sukan,体育运动,Thể thao,15570,3,Shuffleboard,Shuffleboard,沙壶球,Shuffleboard
Sports,Sukan,体育运动,Thể thao,15580,5,"Skateboarding, general, moderate effort","Skateboard, umum, usaha sederhana",滑板，一般，中等强度,"Trượt ván, tổng quát, vừa"
Sports,Sukan,体育运动,Thể thao,15582,6,"Skateboarding, competitive, vigorous effort","Skateboard, pertandingan, usaha kuat",滑板，竞技，剧烈强度,"Trượt ván, cạnh tranh, nặng"
Sports,Sukan,体育运动,Thể thao,15590,7,"Skating, roller (Taylor Code 360)",Luncur kasut beroda (Taylor Code 360),轮滑（Taylor 代码 360）,"Trượt patin, roller (Mã Taylor 360)"
Sports,Sukan,体育运动,Thể thao,15591,7.5,"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace","Inline skating, 14.4 km/j (9.0 mph), kadar santai",直排轮滑，14.4 公里/小时（9.0 英里/小时），娱乐速度,"Trượt patin, in-line, 14,4 km/h (9,0 mph), tốc độ giải trí"
Sports,Sukan,体育运动,Thể thao,15592,9.8,"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training","Inline skating, 17.7 km/j (11.0 mph), kadar sederhana, latihan",直排轮滑，17.7 公里/小时（11.0 英里/小时），中速，训练强度,"Trượt patin, in-line, 17,7 km/h (11,0 mph), tốc độ vừa, luyện tập"
Sports,Sukan,体育运动,Thể thao,15593,12.3,"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training","Inline skating, 21.0 hingga 21.7 km/j (13.0 hingga 13.6 mph), kadar laju, latihan",直排轮滑，21.0 至 21.7 公里/小时（13.0 至 13.6 英里/小时），快速，训练强度,"Trượt patin, in-line, 21,0 đến 21,7 km/h (13,0 đến 13,6 mph), tốc độ nhanh, luyện tập"
Sports,Sukan,体育运动,Thể thao,15594,15.5,"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort","Inline skating, 24.0 km/j (15.0 mph), usaha maksimum",直排轮滑，24.0 公里/小时（15.0 英里/小时），最大强度,"Trượt patin, in-line, 24,0 km/h (15,0 mph), nỗ lực tối đa"
Sports,Sukan,体育运动,Thể thao,15595,6.8,"Skateboard, longboard, 13.3 km/h, slow speed","Skateboard longboard, 13.3 km/j, perlahan",长板滑板，13.3 公里/小时，慢速,"Trượt ván dài, 13,3 km/h, tốc độ chậm"
Sports,Sukan,体育运动,Thể thao,15596,8.3,"Skateboard, longboard, 16.2 km/h, typical speed","Skateboard longboard, 16.2 km/j, kelajuan biasa",长板滑板，16.2 公里/小时，常速,"Trượt ván dài, 16,2 km/h, tốc độ thông thường"
Sports,Sukan,体育运动,Thể thao,15597,10.5,"Skateboard, longboard, 18.4 km/h, fast speed","Skateboard longboard, 18.4 km/j, laju",长板滑板，18.4 公里/小时，快速,"Trượt ván dài, 18,4 km/h, tốc độ nhanh"
Sports,Sukan,体育运动,Thể thao,15600,3.5,"Skydiving, base-jumping, bungee jumping","Terjun udara, base-jumping, bungee jumping",跳伞，低空跳伞，蹦极,"Nhảy dù, nhảy base-jumping, nhảy bungee"
Sports,Sukan,体育运动,Thể thao,15605,9.5,"Soccer, competitive","Bola sepak, pertandingan",足球，竞技,"Bóng đá, cạnh tranh"
Sports,Sukan,体育运动,Thể thao,15610,7,"Soccer, casual, general (Taylor Code 540)","Bola sepak, santai, umum (Taylor Code 540)",足球，休闲，一般（Taylor 代码 540）,"Bóng đá, giải trí, tổng quát (Mã Taylor 540)"
Sports,Sukan,体育运动,Thể thao,15615,3.5,Walking football/soccer,Bola sepak berjalan,健走足球/休闲足球,Bóng đá đi bộ
Sports,Sukan,体育运动,Thể thao,15620,5,"Softball or baseball, fast or slow pitch, general, moderate effort (Taylor Code 440)","Softball atau besbol, pitch laju atau perlahan, umum, usaha sederhana (Taylor Code 440)",垒球或棒球，快投或慢投，一般，中等强度（Taylor 代码 440）,"Bóng mềm hoặc bóng chày, tốc độ nhanh hoặc chậm, tổng quát, vừa (Mã Taylor 440)"
Sports,Sukan,体育运动,Thể thao,15625,4,"Softball, practice","Softball, latihan",垒球，练习,"Bóng mềm, luyện tập"
Sports,Sukan,体育运动,Thể thao,15630,4,"Softball, officiating","Softball, pengadil",垒球，裁判,"Bóng mềm, trọng tài"
Sports,Sukan,体育运动,Thể thao,15640,6,"Softball, pitching","Softball, baling",垒球，投球,"Bóng mềm, ném bóng"
Sports,Sukan,体育运动,Thể thao,15645,3.3,"Sports spectator, very excited, emotional, physically moving","Penonton sukan, sangat teruja, emosi, bergerak secara fizikal",观赛，极度兴奋，情绪激动，身体活动,"Người xem thể thao, rất hứng khởi, xúc động, di chuyển cơ thể"
Sports,Sukan,体育运动,Thể thao,15650,12,Squash (Taylor Code 530),Skuasy (Taylor Code 530),壁球（Taylor 代码 530）,Quần vợt squash (Mã Taylor 530)
Sports,Sukan,体育运动,Thể thao,15652,7.3,"Squash, general","Skuasy, umum",壁球，一般,"Quần vợt squash, tổng quát"
Sports,Sukan,体育运动,Thể thao,15660,4,"Table tennis, ping pong (Taylor Code 410)","Ping pong, tenis meja (Taylor Code 410)",乒乓球（Taylor 代码 410）,"Bàn bóng, ping pong (Mã Taylor 410)"
Sports,Sukan,体育运动,Thể thao,15670,3.3,"Tai chi, qi gong, general","Tai chi, qi gong, umum",太极、气功，一般,"Thái cực quyền, khí công, tổng quát"
Sports,Sukan,体育运动,Thể thao,15672,1.5,"Tai chi, qi gong, sitting, light effort","Tai chi, qi gong, duduk, usaha ringan",太极、气功，坐姿，轻度强度,"Thái cực quyền, khí công, ngồi, nhẹ"
Sports,Sukan,体育运动,Thể thao,15674,6,"Tai chi chuan, Yang style","Tai chi chuan, gaya Yang",太极拳，杨式,"Thái cực quyền, phong cách Yang"
Sports,Sukan,体育运动,Thể thao,15675,6.8,"Tennis, general, moderate effort","Tenis, umum, usaha sederhana",网球，一般，中等强度,"Quần vợt, tổng quát, vừa"
Sports,Sukan,体育运动,Thể thao,15676,8,"Tennis, general, competitive","Tenis, umum, pertandingan",网球，一般，竞技,"Quần vợt, tổng quát, cạnh tranh"
Sports,Sukan,体育运动,Thể thao,15680,6,"Tennis, doubles (Taylor Code 430)","Tenis, beregu (Taylor Code 430)",网球，双打（Taylor 代码 430）,"Quần vợt, đôi (Mã Taylor 430)"
Sports,Sukan,体育运动,Thể thao,15685,4.5,"Tennis, doubles","Tenis, beregu",网球，双打,"Quần vợt, đôi"
Sports,Sukan,体育运动,Thể thao,15690,8,"Tennis, singles (Taylor Code 420)","Tenis, perseorangan (Taylor Code 420)",网球，单打（Taylor 代码 420）,"Quần vợt, đơn (Mã Taylor 420)"
Sports,Sukan,体育运动,Thể thao,15695,5,"Tennis, hitting balls, non-game play, moderate effort","Tenis, pukul bola, bukan perlawanan, usaha sederhana",网球，击球练习，非比赛，中等强度,"Quần vợt, đánh bóng, không chơi trận, vừa"
Sports,Sukan,体育运动,Thể thao,15700,6.3,"Trampoline, recreational","Trampolin, rekreasi",蹦床，娱乐,"Nhún trampoline, giải trí"
Sports,Sukan,体育运动,Thể thao,15702,10.3,"Trampoline, competitive","Trampolin, pertandingan",蹦床，竞技,"Nhún trampoline, cạnh tranh"
Sports,Sukan,体育运动,Thể thao,15710,4,Volleyball (Taylor Code 400),Bola tampar (Taylor Code 400),排球（Taylor 代码 400）,Bóng chuyền (Mã Taylor 400)
Sports,Sukan,体育运动,Thể thao,15711,6,"Volleyball, competitive, in gymnasium","Bola tampar, pertandingan, dalam gimnasium",排球，竞技，室内,"Bóng chuyền, cạnh tranh, trong nhà"
Sports,Sukan,体育运动,Thể thao,15720,3,"Volleyball, non-competitive, 6 - 9 member team, general","Bola tampar, bukan pertandingan, 6 - 9 ahli sepasukan, umum",排球，非竞技，6-9 人团队，一般,"Bóng chuyền, không cạnh tranh, đội 6-9 người, tổng quát"
Sports,Sukan,体育运动,Thể thao,15725,8,"Volleyball, beach, in sand","Bola tampar, pantai, di pasir",沙滩排球，沙地,"Bóng chuyền bãi biển, trên cát"
Sports,Sukan,体育运动,Thể thao,15730,6,"Wrestling, competitive (one match = 5 minutes)","Gusti, pertandingan (satu perlawanan = 5 minit)",摔跤，竞技（每场比赛 = 5 分钟）,"Vật, cạnh tranh (một trận = 5 phút)"
Sports,Sukan,体育运动,Thể thao,15731,7,"Wallyball, general","Wallyball, umum",壁式排球，一般,"Wallyball, tổng quát"
Sports,Sukan,体育运动,Thể thao,15732,4,"Track and field (e.g., shot, discus, hammer throw)","Olahraga (contoh: lontar peluru, cakera, tukul)",田径（如铅球、铁饼、链球）,"Điền kinh (ví dụ: ném tạ, đĩa, búa)"
Sports,Sukan,体育运动,Thể thao,15733,6,"Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)","Olahraga (contoh: lompat tinggi, lompat jauh, lompat berganda, lembing, lompat galah)",田径（如跳高、跳远、三级跳、标枪、撑竿跳）,"Điền kinh (ví dụ: nhảy cao, nhảy xa, nhảy ba bước, lao javelin, xà trụ)"
Sports,Sukan,体育运动,Thể thao,15734,10,"Track and field (e.g., steeplechase, hurdles)","Olahraga (contoh: lari berhalangan, lari berpagar)",田径（如障碍赛、跨栏）,"Điền kinh (ví dụ: vượt rào, vượt chướng ngại)"
Walking,Berbasikal,散步,Đi bộ,17010,7,Backpacking (Taylor Code 050),Mendaki gunung dengan beg galas (Taylor Code 050),背包旅行（Taylor 代码 050）,"Đi bộ đường dài, ba lô (Mã Taylor 050)"
Walking,Berbasikal,散步,Đi bộ,17011,3.5,"Walking with a day pack, level ground, assumed in the city","Berjalan dengan beg harian, tanah rata, dalam bandar",背包行走，日用背包，平地，城市环境,"Đi bộ với ba lô ngày, trên mặt bằng, giả định trong thành phố"
Walking,Berbasikal,散步,Đi bộ,17012,7.8,"Backpacking,  hiking with a daypack, organized walking with daypack","Mendaki, berjalan dengan beg harian, berjalan beramai-ramai dengan beg harian",背包徒步，携带日用背包，有组织行走,"Đi bộ đường dài, đi bộ với ba lô ngày, đi bộ tổ chức với ba lô ngày"
Walking,Berbasikal,散步,Đi bộ,17016,4,"Carrying 5 to 14 lb (2.3 to 6.4 kg) load (e.g. suitcase, boxes, groceries), level ground, moderate pace","Membawa beban 5 hingga 14 lb (2.3 hingga 6.4 kg) (contoh: beg, kotak, barang runcit), tanah rata, kadar sederhana",搬运 5-14 磅（2.3-6.4 公斤）物品（如手提箱、盒子、杂货），平地，中速,"Mang tải 2,3 đến 6,4 kg (5 đến 14 lb) (ví dụ: vali, hộp, thực phẩm), mặt bằng, tốc độ vừa"
Walking,Berbasikal,散步,Đi bộ,17018,4.5,"Carrying 15 - 155 lb (6.8 - 70.4 kg) load (e.g. suitcase, boxes, furniture), level ground or downstairs, slow pace","Membawa beban 15 - 155 lb (6.8 - 70.4 kg) (contoh: beg, kotak, perabot), tanah rata atau menuruni tangga, kadar perlahan",搬运 15-155 磅（6.8-70.4 公斤）物品（如手提箱、家具），平地或下楼，慢速,"Mang tải 6,8 đến 70,4 kg (15-155 lb) (ví dụ: vali, hộp, đồ nội thất), mặt bằng hoặc xuống cầu thang, tốc độ chậm"
Walking,Berbasikal,散步,Đi bộ,17019,6.5,"Carrying 50 to 150 pound load (e.g., equine or bovine feed, fence pipes, furniture), level ground, moderate pace","Membawa beban 50 hingga 150 lb (contoh: makanan ternakan, paip pagar, perabot), tanah rata, kadar sederhana",搬运 50-150 磅物品（如饲料、围栏管、家具），平地，中速,"Mang tải 22,7 đến 68 kg (50-150 lb) (ví dụ: thức ăn cho gia súc, ống hàng rào, đồ nội thất), mặt bằng, tốc độ vừa"
Walking,Berbasikal,散步,Đi bộ,17021,2.3,"Carrying ~10 lb child, slow walking","Membawa anak ~10 lb, berjalan perlahan",抱 约 10 磅 小孩，慢走,"Mang trẻ ~4,5 kg (10 lb), đi chậm"
Walking,Berbasikal,散步,Đi bộ,17025,8.3,"Carrying load upstairs, general","Membawa beban menaiki tangga, umum",搬运物品上楼，一般,"Mang tải lên cầu thang, tổng quát"
Walking,Berbasikal,散步,Đi bộ,17026,5.5,"Carrying load, 1 to 15 lb load, upstairs","Membawa beban, 1 hingga 15 lb, menaiki tangga",搬运物品，1-15 磅，上楼,"Mang tải 0,5 đến 6,8 kg (1-15 lb) lên cầu thang"
Walking,Berbasikal,散步,Đi bộ,17027,6,"Carrying load, 16 to 24 lb load, upstairs","Membawa beban, 16 hingga 24 lb, menaiki tangga",搬运物品，16-24 磅，上楼,"Mang tải 7,3 đến 10,9 kg (16-24 lb) lên cầu thang"
Walking,Berbasikal,散步,Đi bộ,17028,8,"Carrying load, 25 to 49 lb load, upstairs","Membawa beban, 25 hingga 49 lb, menaiki tangga",搬运物品，25-49 磅，上楼,"Mang tải 11,3 đến 22,2 kg (25-49 lb) lên cầu thang"
Walking,Berbasikal,散步,Đi bộ,17029,10,"Carrying load, 50 to 74 lb load, upstairs","Membawa beban, 50 hingga 74 lb, menaiki tangga",搬运物品，50-74 磅，上楼,"Mang tải 22,7 đến 33,6 kg (50-74 lb) lên cầu thang"
Walking,Berbasikal,散步,Đi bộ,17030,12,"Carrying load, >74 lb load, upstairs","Membawa beban, >74 lb, menaiki tangga",搬运物品，大于 74 磅，上楼,"Mang tải >33,6 kg (>74 lb) lên cầu thang"
Walking,Berbasikal,散步,Đi bộ,17031,3.8,"Loading  and/or unloading a car, implied walking","Memunggah dan/atau memuatkan kereta, termasuk berjalan",装卸汽车，包含走动,"Bốc xếp và/hoặc dỡ hàng vào xe, kèm đi bộ"
Walking,Berbasikal,散步,Đi bộ,17032,5,"Climbing hills, no load, 5 to 20% grade, very slow pace","Mendaki bukit, tanpa beban, cerun 5 hingga 20%, kadar sangat perlahan",爬坡，无负重，坡度 5-20%，极慢速,"Leo đồi, không tải, dốc 5-20%, tốc độ rất chậm"
Walking,Berbasikal,散步,Đi bộ,17033,3.8,"Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace","Mendaki bukit, beban 15-50 lb, cerun 1 hingga 2%, kadar perlahan",爬坡，负重 15-50 磅，坡度 1-2%，慢速,"Leo đồi, tải 7-23 kg (15-50 lb), dốc 1-2%, tốc độ chậm"
Walking,Berbasikal,散步,Đi bộ,17034,5.3,"Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace","Mendaki bukit, tanpa beban, cerun 1 hingga 5%, kadar sederhana hingga laju",爬坡，无负重，坡度 1-5%，中速至快速,"Leo đồi, không tải, dốc 1-5%, tốc độ vừa đến nhanh"
Walking,Berbasikal,散步,Đi bộ,17035,7,"Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace","Mendaki bukit, tanpa beban, cerun 6 hingga 10%, kadar sederhana hingga laju",爬坡，无负重，坡度 6-10%，中速至快速,"Leo đồi, không tải, dốc 6-10%, tốc độ vừa đến nhanh"
Walking,Berbasikal,散步,Đi bộ,17036,8.8,"Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace","Mendaki bukit, tanpa beban, cerun 11 hingga 20%, kadar perlahan hingga sederhana",爬坡，无负重，坡度 11-20%，慢至中速,"Leo đồi, không tải, dốc 11-20%, tốc độ chậm đến vừa"
Walking,Berbasikal,散步,Đi bộ,17037,10,"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace","Mendaki bukit, tanpa beban, 4.0 hingga 5.0 mph, cerun 3 hingga 5%, kadar sangat laju",爬坡，无负重，4.0-5.0 英里/小时，坡度 3-5%，极快速,"Leo đồi, không tải, 4,0 đến 5,0 mph, dốc 3-5%, tốc độ rất nhanh"
Walking,Berbasikal,散步,Đi bộ,17038,8.5,"Climbing hills, no load, steep grade (30%), slow pace (less than 1.2 mph)","Mendaki bukit, tanpa beban, cerun curam (30%), kadar perlahan (kurang daripada 1.2 mph)",爬坡，无负重，陡坡（30%），慢速（小于 1.2 英里/小时）,"Leo đồi, không tải, dốc dốc (30%), tốc độ chậm (<1,2 mph)"
Walking,Berbasikal,散步,Đi bộ,17039,15.5,"Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph","Mendaki bukit, tanpa beban, cerun sangat curam (30-40%), 1.2 hingga 1.8 mph",爬坡，无负重，非常陡坡（30-40%），1.2-1.8 英里/小时,"Leo đồi, không tải, dốc rất dốc (30-40%), 1,2 đến 1,8 mph"
Walking,Berbasikal,散步,Đi bộ,17040,16.3,"Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph","Mendaki bukit, tanpa beban, cerun curam (10-40%), 1.8 hingga 5.0 mph",爬坡，无负重，陡坡（10-40%），1.8-5.0 英里/小时,"Leo đồi, không tải, dốc 10-40%, 1,8 đến 5,0 mph"
Walking,Berbasikal,散步,Đi bộ,17045,6.5,"Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate","Mendaki bukit, beban 10 hingga 20 lb, cerun 5 hingga 10%, sederhana",爬坡，负重 10-20 磅，坡度 5-10%，中等,"Leo đồi, tải 5-9 kg (10-20 lb), dốc 5-10%, vừa"
Walking,Berbasikal,散步,Đi bộ,17050,7.5,"Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace","Mendaki bukit, beban 21 hingga 40 lb, cerun 3 hingga 10%, kadar sederhana hingga laju",爬坡，负重 21-40 磅，坡度 3-10%，中速至快速,"Leo đồi, tải 9,5-18 kg (21-40 lb), dốc 3-10%, vừa đến nhanh"
Walking,Berbasikal,散步,Đi bộ,17060,10,"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace","Mendaki bukit, beban lebih 20 lb, cerun 5 hingga 20%, kadar sederhana hingga laju",爬坡，负重 20+ 磅，坡度 5-20%，中速至快速,"Leo đồi, tải >9 kg (20+ lb), dốc 5-20%, vừa đến nhanh"
Walking,Berbasikal,散步,Đi bộ,17070,3.5,Descending stairs,Menuruni tangga,下楼梯,Xuống cầu thang
Walking,Berbasikal,散步,Đi bộ,17076,4.5,"Hauling water, head hauling, walking on flat surface","Mengangkut air, atas kepala, berjalan di tanah rata",挑水，顶挑，平地行走,"Kéo nước, đầu kéo, đi bộ trên mặt bằng"
Walking,Berbasikal,散步,Đi bộ,17080,6,"Hiking, cross country (Taylor Code 040)","Mendaki, rentas desa (Taylor Code 040)",徒步，越野（Taylor 代码 040）,"Đi bộ đường dài, băng qua đồng cỏ (Mã Taylor 040)"
Walking,Berbasikal,散步,Đi bộ,17081,3.8,"Hiking slowly or ambling through fields and hillsides, no load","Mendaki perlahan atau berjalan santai di ladang dan bukit, tanpa beban",徒步，缓慢或闲逛，田野丘陵，无负重,"Đi bộ chậm hoặc thong thả qua đồng cỏ và đồi, không tải"
Walking,Berbasikal,散步,Đi bộ,17082,5.3,"Hiking or walking at a normal pace through fields and hillsides, no load","Mendaki atau berjalan pada kadar normal di ladang dan bukit, tanpa beban",徒步或正常步速穿越田野丘陵，无负重,"Đi bộ hoặc đi bình thường qua đồng cỏ và đồi, không tải"
Walking,Berbasikal,散步,Đi bộ,17085,2.5,"Bird watching, walking and stopping","Pemerhatian burung, berjalan dan berhenti",观鸟，走走停停,"Quan sát chim, đi bộ và dừng lại"
Walking,Berbasikal,散步,Đi bộ,17088,4.5,"Marching, moderate speed, military, no pack","Berjalan berbaris, kadar sederhana, tentera, tanpa beg",行军，中速，军队，无负重,"Diễu hành, tốc độ vừa, quân sự, không ba lô"
Walking,Berbasikal,散步,Đi bộ,17090,8,"Marching rapidly, military, no pack","Berjalan berbaris laju, tentera, tanpa beg",行军，快速，军队，无负重,"Diễu hành nhanh, quân sự, không ba lô"
Walking,Berbasikal,散步,Đi bộ,17100,3.8,"Pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph","Menolak atau menarik stroller dengan anak atau berjalan bersama anak, 2.5 hingga 3.1 mph",推婴儿车或与孩子一起走，2.5-3.1 英里/小时,"Đẩy hoặc kéo xe đẩy với trẻ em, 2,5 đến 3,1 mph"
Walking,Berbasikal,散步,Đi bộ,17105,3.8,"Pushing a wheelchair, non-occupational","Menolak kerusi roda, bukan pekerjaan",推轮椅，非职业,"Đẩy xe lăn, không nghề nghiệp"
Walking,Berbasikal,散步,Đi bộ,17110,6.5,Race walking,Berjalan lumba,竞走,Đi bộ nhanh
Walking,Berbasikal,散步,Đi bộ,17130,8,"Stair climbing, using or climbing up ladder (Taylor Code 030)","Mendaki tangga, guna atau panjat tangga (Taylor Code 030)",爬楼梯，使用或攀爬梯子（Taylor 代码 030）,"Leo cầu thang, sử dụng hoặc leo thang (Mã Taylor 030)"
Walking,Berbasikal,散步,Đi bộ,17131,6.8,"Stair climbing, general","Mendaki tangga, umum",爬楼梯，一般,"Leo cầu thang, tổng quát"
Walking,Berbasikal,散步,Đi bộ,17133,4.5,"Stair climbing, slow pace","Mendaki tangga, kadar perlahan",爬楼梯，慢速,"Leo cầu thang, tốc độ chậm"
Walking,Berbasikal,散步,Đi bộ,17134,9.3,"Stair climbing, fast pace, one step at a time","Mendaki tangga, kadar laju, satu anak tangga pada satu masa",爬楼梯，快速，一次一步,"Leo cầu thang, tốc độ nhanh, từng bậc một"
Walking,Berbasikal,散步,Đi bộ,17136,7.5,"Stair climbing, two steps at a time","Mendaki tangga, dua anak tangga pada satu masa",爬楼梯，两步并一步,"Leo cầu thang, hai bậc một lần"
Walking,Berbasikal,散步,Đi bộ,17138,7.5,"Stair climbing, ascending and descending stairs","Mendaki tangga, naik dan turun tangga",爬楼梯，上下楼梯,"Leo cầu thang, lên và xuống"
Walking,Berbasikal,散步,Đi bộ,17140,4.5,"Using crutches, level ground, general","Menggunakan tongkat ketiak, tanah rata, umum",拐杖行走，平地，一般,"Sử dụng nạng, mặt bằng, tổng quát"
Walking,Berbasikal,散步,Đi bộ,17142,7,"Using crutches, fast pace","Menggunakan tongkat ketiak, kadar laju",拐杖行走，快速,"Sử dụng nạng, tốc độ nhanh"
Walking,Berbasikal,散步,Đi bộ,17145,4.3,Using medical knee scooter,Menggunakan skuter lutut perubatan,医疗膝车代步,Sử dụng xe đẩy y tế cho đầu gối
Walking,Berbasikal,散步,Đi bộ,17150,2.3,"Walking, household","Berjalan, kerja rumah",步行，家务相关,"Đi bộ, trong nhà"
Walking,Berbasikal,散步,Đi bộ,17151,2.3,"Walking, less than 2.0 mph, level, strolling, very slow","Berjalan, kurang daripada 2.0 mph, tanah rata, santai, sangat perlahan",步行，小于 2.0 英里/小时，平地，散步，非常慢,"Đi bộ, <2,0 mph, mặt bằng, thong thả, rất chậm"
Walking,Berbasikal,散步,Đi bộ,17152,2.8,"Walking, 2.0 to 2.4 mph, level, slow pace, firm surface","Berjalan, 2.0 hingga 2.4 mph, tanah rata, kadar perlahan, permukaan keras",步行，2.0-2.4 英里/小时，平地，慢速，坚实路面,"Đi bộ, 2,0-2,4 mph, mặt bằng, tốc độ chậm, bề mặt cứng"
Walking,Berbasikal,散步,Đi bộ,17160,3.5,Walking for pleasure (Taylor Code 010),Berjalan untuk keseronokan (Taylor Code 010),散步（Taylor 代码 010）,Đi bộ để thư giãn (Mã Taylor 010)
Walking,Berbasikal,散步,Đi bộ,17161,2.5,"Walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite","Berjalan dari rumah ke kereta atau bas, dari kereta atau bas untuk ke tempat lain, dari kereta atau bas ke tempat kerja",从家走到车或公交，从车或公交到目的地，从车或公交到工作地点,"Đi từ nhà đến xe hoặc xe buýt, từ xe hoặc xe buýt đến nơi, từ xe hoặc xe buýt đến và từ nơi làm việc"
Walking,Berbasikal,散步,Đi bộ,17162,2.5,Walking to neighbor’s house or family’s house for social reasons,Berjalan ke rumah jiran atau rumah keluarga untuk tujuan sosial,走到邻居或亲友家社交,Đi bộ đến nhà hàng xóm hoặc nhà người thân vì lý do xã hội
Walking,Berbasikal,散步,Đi bộ,17165,3,Walking the dog,Berjalan dengan anjing,遛狗,Đi dạo với chó
Walking,Berbasikal,散步,Đi bộ,17170,3,"Walking, 2.5 mph, firm, level surface","Berjalan, 2.5 mph, permukaan keras, rata",步行，2.5 英里/小时，坚实平地,"Đi bộ, 2,5 mph, bề mặt cứng, mặt bằng"
Walking,Berbasikal,散步,Đi bộ,17180,3.3,"Walking, 2.5 mph, downhill","Berjalan, 2.5 mph, menurun bukit",步行，2.5 英里/小时，下坡,"Đi bộ, 2,5 mph, xuống dốc"
